tweet,category,cluster,cause,sentiment,sentiment_score,user_id,user_screen_name,user_followers_count,user_friends_count,user_favourites_count,influence_ratio,user_statuses_count,user_verified,user_description,user_category
Rescuers could only watch as been clinging to rocks fell to death in canyon Canada Anonymous News Occupy,educational,,Falls,negative,-0.256067,1936280820,Anon_Universal,3396,3748,2597,0.906083244,34816,0,"""Lulz Security\xae (LulzSec), the world's leaders in high-quality entertainment at your expense.""",businesses
Would Losing Eight Case Your Arthritis Pain,promotional,,Osteoarthritis,negative,-0.866081,615313858,YoursTrulyTammy,711,599,448,1.19,12304,0,"""LUV ANIMALS. MOTHER OF LUCKY & PRECIOUS (MY BELOVED CATS RIP). I'M A CAREGIVER 1 OF THE HARDEST JOB. QUIRKY HUMOR. DAMN DEPRESSION. TV JUNKIE AND I'M AN ALIEN.""",public
Says migrate is gone though so that s good,personal,,Migraine,neutral,0,7.11E+17,DevicusSavior,117,111,21,1.05,324,0,"""Magnus' half sister. I wont hurt you. No Pressure. |SV|#TMI|Lit|OC| #\u02e2\u1d43\u1db0\u1d4d\u02b3\u1da4\u1d43""",public
Music Glass Helping Alzheimer s Patients Their Families,educational,Neurological disorders,Alzheimer,negative,-0.410518,126095593,MomsEveryday,1848,714,287,2.59,9902,1,"""Making Mom's life easier, one small victory at a time.""",public
Holy shit I m craving sweets right now Anyone anna go on a diabetes quest with me,unrelated,,Diabetes,negative,-0.518137,2999379016,CellyInMaBelly,361,322,959,1.121118012,2131,0,"""Manga & Comic Artist || Game Design Student || age : 21 || I'm Fangirl Trash...  Current addictions: VOLTRON / POKEMON / HAIKYUU""",public
WARNING I have an input on self harm Of you self harm it s not ok By act Is not supporting it Of you feel suicidal read the comment,personal,,Self-harm,negative,-0.840945,7.16E+17,piercethequeen,8,26,6,0.31,15,0,"""Many things you wouldn't know about me are unfolding... I post daily. You can use my stuff. Please don't do it its not worth dieing over I would know...""",public
RT of In March all CVS pharmacies in Ohio will offer prescription free drug overcome antidotes,educational,Mental and behavioral disorders,Drug overdose,negative,-0.340284,2999753682,jaffe_johnson,633,1032,4581,0.61,7633,0,"""Mature, Science/Medical nerd & 'Old Hippie'. SURVIVOR & gentle feminist/optimist/SyFy fan.Happy to be alive! Follow me/follow u. NO PORN!!!!!!!!!!!!""",public
ALSO THE SHOCKED GIRL STANDING of THE DOORWAY WHEN JJONG FALLS OHH MYGOD,unrelated,,Falls,negative,-0.710446,103848083,catbingsu,184,304,15100,0.605263158,77282,0,"""maybe 'good bounce' will be our 'always' \U0001f31f [disclaimer: i stan too many groups and i'm practically an RT bot] #bapxorevival #bobert #ahgamom""",public
to I m coughing like I have tuberculosis or something,personal,HIV/AIDS and tuberculosis,Tuberculosis,negative,-0.872461,298840497,gottahavbieber,1757,575,57450,3.06,94255,0,"""maybe just maybe we'll get a little bit crazy and live the life that we all want to""",public
Are you a match for Earlier Sackville girl needs life saving marrow donor Was Between,unrelated,,Leukemia,neutral,0,47336979,IronmanMann,538314,489009,40460,1.101,22960,0,"""Mel's Story https://t.co/UvwwFeINQX 22 Yr Cancer Survivor, Marrow Donor Adv https://t.co/s29p5irQDP, Army Ret, MBA, M.Ed, Gleevec 8/98 WR, Believer \u271d\ufe0f""",public
you got me drowning in a river,unrelated,,Drowning,negative,-0.573805,998244200,louis_pas,408,739,34992,0.552097429,104792,0,"""Mes tweets ne sont qu'un m\xe9lange de tout et n'importe quoi #DW #Shaka #SexySushi #AceAttorney #Layton #Broadchurch #JessicaJones #HC5 #Sense8""",public
Met or ticket now 4 Migraine Insight Peter amp get the answers u deserve,personal,,Migraine,negative,-0.658862,112991651,MigraineAction,4296,695,1131,6.18,4386,0,"""Migraine Action is the UK's leading charity supporting people of all ages who are affected by migraine""",public
of for wise words on how to respond when your desperate housemaid can t afford an abortion and so DIYs,educational,,Abortion,positive,0.35155,1110222162,SimonFRCox,2477,1067,6002,2.321462043,20038,0,"""Migration Lawyer @OSFJustice tweeting for migrants' rights & workable policies. Lawyer for 25 yrs specially human rights & EU. Personal account.""",public
The doing are back in Danger Walls and it s time to end it Sequel to Love kindle mystery paranormal,unrelated,,Falls,positive,0.586258,311179034,SherritheWriter,2564,2089,1234,1.227381522,8410,0,"""Mommy bird to @wazzupzack & @ChloeConure, program assistant by day; indie author by night. They haven't found a name for what's wrong with me yet.""",public
BRB drowning in moscato MoscatoLife,unrelated,,Drowning,negative,-0.4644,296414175,MoscatoLife,17669,1675,15272,10.55,13698,0,"""Moscato is a way of life...always in the mix...when people want to know what's next I'm who they call...raise a glass to the good life...#MoscatoLife""",public
On t do a goose image search of syphilis tertiary stage,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Syphilis,neutral,0,63950661,Lukemackaycooks,5864,2126,188,2.758,46034,0,"""Murdo & Sula's dad. Freelance chef/writer/consultant & co-founder of @bromptonfoodmkt and @TheHourGlassSK. 'Mackay is an unusual animal' Fay Maschler 2015""",public
ABORTION of THE RIGHT amp CHOICE of THE MOTHER amp of ONE ELSE ESPECIALLY not Donald Plump,personal,,Abortion,negative,-0.348421,42995801,hclay14,1606,1523,7459,1.054,58622,0,"""music and singing shall be my light; about my business; singer, traveler, preacher of positivity. Lover. if it wasn't for the blood. \u2764 #AveNation #ImWithHer""",public
01 am Spokane River Walls Clean Bones Fleeting Thrill Jockey,unrelated,,Falls,positive,0.465449,1444501129,kalxplaylist,782,1,0,782,346507,0,"""Music playing from KALX 90.7FM, UC Berkeley's freeform college radio station.  @kalxradio""",media
I can t make this up The drug Sovaldi that treats Keratitis C will cost 1 000 per pill,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Hepatitis,negative,-0.47503,506061686,amoshay25,5613,2479,20106,2.26,98471,0,"""My 'God' is a BLACK woman. Anti-imperialism/White Supremacy. Melanated Patriarch. Houston based Pan-African & Revolutionary \u270a #Garveyite #RBG""",public
RT of HUGS amp SMILES Leukaemia it it it it it it Have A Great May Everyone it it it it it it h,personal,Neoplasms,Leukemia,positive,0.737063,37654700,Cure_Leukemia,4344,3469,1121,1.252,9754,0,"""My story is sadly short. About two amazing young brothers ~ my children. Their enemy was Leukemia. Now it's mine. I hope to make it yours. www.jeffreysvoice.org""",public
Chances are if a ask how I m feeling I ll reply with I have a migrate more days than not Why was I cursed with such horrible pain,personal,Neurological disorders,Migraine,negative,-0.845458,260992228,holly_cazalas,592,489,6729,1.21,14596,0,"""my tweets usually consist of Disney, taylor swift, julie andrews, and how often I get migraines :) TAMU '19""",public
Fabulous News First patient in diabetes trial no longer needs insult therapy,educational,"Diabetes, urogenital, blood, and endocrine diseases",Diabetes,negative,-0.373251,113170684,BeessentialBDCR,6356,6864,4717,0.93,15398,0,"""Nature's Solution to Extraordinary Products--that's us! We hand-make our natural bar soap, sulfate free shampoo and conditioner.""",public
of Harm shares surge 136pc as connais based epilepsy drug beats expectations via,educational,,Epilepsy,negative,-0.716009,2727324168,FrankBanacek,861,771,1034,1.116731518,7408,0,"""Neurology: TBI, Epilepsy, Alzheimer's & Dementia, & Huntington's / Robotic Devices & Service Dogs. I \nLove Political Cartoons.""",public
Sobs Basic amenities that people don t have to die because it s available Nobody should still be dying because of typhoid malaria,personal,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",typhoid,negative,-0.884972,138210037,SIXTEENskins,376,541,740,0.7,13858,0,"""Never said I'm perfect, never said everything was awesome, all I know is I'm worth it""",public
Michael comes to life only in his libidinous dalliance with the gout ridden Professor s far younger wife Clean,personal,Musculoskeletal disorders,Gout,neutral,0,237977336,GeminiNotTwin,279,364,8834,0.77,17310,0,"""Never tell your problems to anyone...20% don't care and the other 80% are glad you have them. \n\n- Lou Holtz""",public
The theme for WorldHealthDay this year is diabetes Think you know about diabetes Take this short quit,educational,,Diabetes,negative,-0.76473,38690295,Jaxhealth,3404,925,170,3.68,4423,0,"""News from St. Vincent's HealthCare. This site is managed by the Marketing and Communications Department of St. Vincent's HealthCare.""",public
Houston Chronicle Ultimate Texans Texans June Grown raising awareness about diabetes,educational,,Diabetes,neutral,0,462210311,SocialInHouston,67742,61031,74,1.11,169182,0,"""News, Events, Announcements, Meet Ups, What's Happing in Houston Join the Fun! Send us your events or Add it Here: https://t.co/Vs0eE7tJs7 FREE!""",media
SOUNEW Southampton is casting to victory leaving Newcastle drowning in delegation zone 3 0,unrelated,,Drowning,negative,-0.350072,44900997,nigeriantribune,94605,385,329,245.727,418969,1,"""Nigeria's oldest and most informative news medium, publishing articles on Politics, Business, Sports, Op-Ed, others. https://t.co/MxLJCLjwA7""",media
You really need to stop drowning for the people who won t even get in to the goddamn water for you,unrelated,,Drowning,negative,-0.726174,2620098927,SandyRK214,286,112,1287,2.553571429,1582,0,"""Nobody gets me. I'm a goof at the same time I'm Deep. Anxious.Weird.\u2661high on imaginations.Always been impressed by  the urgency of doing\u2665easily won!""",public
1 in 3 American adults is at risk for kidneydisease That to look for and when you should see a doctor,educational,,kidney disease,positive,0.267204,32518381,renownhealth,3218,1192,1006,2.69966443,10042,0,"""Northern Nevada's largest integrated health network and a nationally recognized healthcare leader. For job openings at Renown Health, follow @renowncareers.""",businesses
Why hip flexors are a major cause of low back pain and what to do about it,educational,Musculoskeletal disorders,Low back pain,negative,-0.86067,112841251,NovaPainRehab,103,61,0,1.69,1587,0,"""Northern Virginia's Premier\r\nPain & Rehabilitation Facility""",public
Epidemic News Heroin use in Connecticut s suburbs driving alarming rates of overdoses Keratitis infections of,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Hepatitis,negative,-0.911218,262389713,LS_Medical,241,8,0,30.13,40421,0,"""Official page. We offer news and views aimed at the medical, dental, nursing, EMS and health related communities. We're part of Living http://t.co/vZhFVRAPvL.""",interest groups
Bladder kidney cancer claimed 15 lives in MidDevon in 2013 being aware of the symptoms can help save lives,educational,Neoplasms,Kidney cancer,negative,-0.737115,1374759968,PHE_SouthWest,1034,469,142,2.2,1698,0,"""Official Twitter feed for Public Health England's South West Centre, giving regular news and updates on PHE's work in the area""",media
Highlight NittanyLions Reason Ends at Fig Men Tournament to Michigan HockeyValley,unrelated,,Falls,neutral,0,251196485,PennStateMHKY,24668,395,2930,62.45,13116,0,"""Official Twitter Feed of the #PennState Men's Hockey Team. Instagram & Snapchat: pennstatemhky #WeAre #HockeyValley""",public
i feel like drowning,personal,,Drowning,negative,-0.560123,7.13E+17,vdamnfuckedup,121,115,4,1.05,312,0,"""Our 'almost' will always haunt me.""",public
massive huge bronchitis is shit but better to have it now before your book launch Excellent body control Met well soon x,personal,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",bronchitis,positive,0.399896,4738310007,AuthorSLloyd1,47622,41432,9994,1.15,13484,0,"""OVER THE RAINBOW WITH THE FAIRIES  https://t.co/AuAuN3s95W Author of Delsey Prodigal, Cassie's Hope and The Diary Of Harri Foxx. \nWIP - Harness The Moon""",public
The day Stay learned hoes do get pneumonia however AHoeNevaGetsColdChallenge,personal,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",pneumonia,neutral,0,257830879,itsexpress,1252,572,15213,2.19,100569,0,"""Pac's looking from heaven saying 'they ain't understand me neither'\n\nSouth Bronx bred.""",public
my hubs currently rattling a recurrence of pancreatic cancer It s been rough,educational,Neoplasms,Pancreatic cancer,negative,-0.805033,34180814,LittlemRX,1214,1231,72524,0.986,70635,0,"""Pancreatic cancer killed my husband on 4/17/16. I'm just another whiny hood rat in a nice dress missing her dead husband #ChingaleForward""",public
RT of Human hearts 1 Hot in the Heart 2 Cancer Heart 3 Been Drug Overdose Heart 4 Fatty Oversized Heart,educational,Mental and behavioral disorders,Drug overdose,negative,-0.87012,54408020,ShashaBieber6,1186,2101,62833,0.564,73862,0,"""Part of many fandoms mostly Beliebers (Since '07), Swifties, and Arianators ..Dallas,TX IS WHERE IT'S AT !!! Love and peace let's change the world in 2015 !!""",public
RT of Express MENINGITIS can kill in HOURS but would YOU spot the signs that could save your LIFE,educational,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Meningitis,negative,-0.697038,62486319,hamishrhaddow,663,732,3578,0.906,2086,0,"""Personal twit account.  Only going to follow accounts I'm interested in""",public
Having diabetes is exhausting Being sick is exhausting Having digestive issues is exhausting By body is inevitable disappointment,personal,,Diabetes,negative,-0.94515,28881949,liamrulz,1732,1063,33125,1.629350894,82050,0,"""Philly/ LV, Film/Music/Politics/Faith/Food. co-creator/editor @cinepunx , co-host @eritfm and @thehorrorbiz666 lackey for @TIHCFest , Proud Pastor's Husband""",public
will have to reminisce on a great hood weekend drowning market sorrows,unrelated,Unintentional injuries other than transport injuries,Drowning,neutral,0,35341081,rsen01,747,1338,1480,0.558,11214,0,"""Physician, Stock trader, blogger, Hoop coach, author, The Simple Guide to Girls' Basketball, https://t.co/85zYExIpbZ https://t.co/LzURLFz7iC""",public
I think looking through s Instagram has given me diabetes,unrelated,,Diabetes,negative,-0.476276,26204241,iamnotwaynegale,3341,1678,5837,1.991060787,38432,1,"""Pint-sized film person for @EmpireMagazine + more \u2022 Credit watcher, trailer avoider, Oscar season lad \u2022 @MNDassoc's biggest fan \u2022 Phil 4:13 \u2022 Insta: emmathrower""",public
Diabetes rates are exploding Is Canada s health care system prepared Watch s in with next cbcnn,educational,,Diabetes,positive,0.478329,102993899,LawrenceMorton,274,273,95,1.003663004,1420,0,"""Producer at CBC News Network's weekend show.""",public
Glad to see the taking a clear stance on this Criminalising women on abortion via,personal,,Abortion,positive,0.691303,15319568,scahill,1358,1336,1100,1.016467066,1258,0,"""Prof Irish Lit @Concordia @canadian_irish Irish girlhood. Obsessions: children's/YA lit, the 90s/grunge, feminism, ballet #repealthe8th""",public
A great piece on living alone with Parkinsons,educational,Neurological disorders,Parkinsons disease,positive,0.386574,289579327,NWParkinsons,896,269,142,3.33,759,0,"""Promoting an optimal quality of life for the Northwest Parkinson's community through awareness, education, care, and advocacy.""",public
Was an honor to hear speak about her mother and how Alzheimer s has affected their family ENDALZ,educational,Neurological disorders,Alzheimer,negative,-0.701788,36771539,ALZ_Central_IL,3132,311,162,10.071,1449,0,"""Providing education and support for individuals with Alzheimer's disease and their caregivers throughout a 20-county area of Illinois.""",interest groups
it entertain me clot org the one scene at the end where he falls down the well and Be Lincoln shows up and goes demon,unrelated,,Falls,negative,-0.662904,455325612,RetroPupbark,5987,2393,66103,2.501880485,50590,0,"""Rainbow Dog Extraordinar | suit by @donthugcacti | Let's go On An Adventure! | Artist and Dog.| Trouble Makers with @Dave0reo""",public
Being a gun mug doesn affect your Of rights But I never said late term abortion was ok,personal,,Abortion,negative,-0.719407,3700487181,SeIpsa,227,304,8014,0.746710526,13177,0,"""Rational Politics and Irrational Humor.\nAll views expressed are personal opinions only, unless they're links or RTs of other people's opinions.""",public
Diabetes here I come note offend Starbucks customer nottheonion,unrelated,,Diabetes,negative,-0.71103,1161080954,ItsNotTheOnion,1034,1,0,1034,91113,0,"""Real headline from real news sources. It's not the Onion!""",media
Preemptive drowning of sorrows,unrelated,,Drowning,negative,-0.756952,49707312,pmocwriter,1029,1312,1017,0.784,3184,0,"""Reporter for @chicagotribune; previously @stltoday. Book-reading dad, light-hitting softball player. But I run fast. Where's the karaoke?""",public
RT of Environs hating DDT while millions die from malaria in Africa might change tune when Like comes to their think tanks http,educational,Neglected tropical diseases and malaria,Malaria,negative,-0.505303,124075592,623Sis,11099,11263,3669,0.99,109780,0,"""Retired, Catholic convert,  patriotic, 2nd amendment, traditional values, pro-life, married to same husband for 51 years.  I'm too old for photo.""",public
rockford il Local Veterinarians Urges Owners to Watch But for Diabetes While diabetes kills about rockfordlink,educational,,Diabetes,negative,-0.484375,57517393,Rockford_IL,14062,393,0,35.781,280474,0,"""Rockford, Illinois' Official Guide! Job Posts, News, Entertainment and other Useful Information!""",interest groups
RT of DavidBowie died yesterday due to LiverCancer 80 of liver cancer is directly related to Keratitis B and,educational,Neoplasms,Liver cancer,negative,-0.761719,248714273,Bluefairy111,396,645,10853,0.61,12388,0,"""Salfordian exiled in Scotland and loving it! Feel I've come home!""",public
Bronchitis it is,educational,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",bronchitis,negative,-0.638861,60932022,_ambylove,786,420,6907,1.871,41009,0,"""sc: ambyloveee ; cal who' 19 but prob dropping out""",public
I thought I read that it was after he makes abortion illegal I ll look it up again,personal,,Abortion,negative,-0.704308,298809687,enkidu97,616,1031,14510,0.6,31932,0,"""Scientist, sports fan, geek, wife, mom, dog lover. I don't have herpes but I'm working on it.""",public
ll drowning in homework and i haven t even showered yet,personal,,Drowning,negative,-0.76588,605957332,JuniorxMartinez,1339,635,7544,2.108661417,25201,0,"""Senior and Class Historian '17. Dog lover. ROTC raider and photography is my specialty. God gives his toughest battles to his strongest soldiers.""",public
Guess how much a 2 later bottle of sugary soda costs Less than water ToxicFoodEnvironment 4 diabetes,personal,,Diabetes,negative,-0.541599,89128871,asbrown1,1375,663,229,2.073906486,1052,0,"""Senior Editor/author of Adam's Corner at  https://t.co/138jHa801j (@diaTribenews). Student of #psychology, #nutrition, and #exercise. Working on my first book.""",public
An t comment on particular case but it Eight loss and exercise referral services aged in further public health cuts,personal,,Diabetes,neutral,0,283961189,davidjbuck,3274,569,517,5.75,10566,0,"""Senior Fellow in Public Health & Inequalities at the King's Fund. Bit of a magpie, views my own, and don't necessarily agree with those i (re)tweet.""",public
I don t think angels get diabetes,personal,,Diabetes,negative,-0.500047,7.16E+17,Pit_Skyworld,121,77,97,1.57,2855,0,"""Servant of the goddess of light Palutena @kidicarus178 ! I love anything that's food and hotsprings! And my wish would be to fly by myself!""",public
I m expecting tonsillitis diabetes hypertension and obesity in the next few weeks At now regret later,personal,,Diabetes,negative,-0.708236,63716298,jaeiouyce,898,496,7963,1.81,25021,0,"""she's just like paperwork but harder to read. iska.""",public
and like the only people who protest abortion are either men or religious women with a lot of money,personal,,Abortion,neutral,0,499883002,kriemhildsrache,1660,1223,109775,1.35731807,50722,0,"""she-wolvish outlaw of the deep | 21, lowly english finalist, millennial medievalist\u2122 interested in women's grief in OE/ON poetry. master beowulf shitposter""",public
RT of rd Santa Clara Iv student has meningitis School offers vaccine antibiotics to camps he,educational,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Meningitis,negative,-0.57366,33418601,fataaa3,410,459,14611,0.893,43077,0,"""Snapchat or it's not real: efata3""",public
I drank a gallon of juice in 3 days and I probably have diabetes now,unrelated,,Diabetes,negative,-0.620084,2556432454,jayjaycx99,221,167,7294,1.323353293,11197,0,"""solo ridin' \u2022 CA \U0001f334""",public
Of it wasn t for Malaria we wouldn t have In and Tonics To up thanks awful disease,personal,,Malaria,negative,-0.85262,238426096,nightflurry,1560,689,7133,2.26,40985,0,"""Some people don't think the Ethiopian Wolf be like it is, but it do. Machinist by trade, writer by...occasion. 2006 Time Magazine Person of the Year.""",public
Via Frowning history Tea level rise threatens of historic sites,unrelated,,Drowning,negative,-0.644981,33290830,WarrenBingham,2347,942,13297,2.491507431,36657,0,"""Spkr, Writer, Broadcaster #CarolinaColor Radio Vignettes. Life Ins. Industry History. @HollinsU @UNC Alum. Author: Washington's 1791 Southern Tour @HistoryPress""",public
1 His is one of the more unique inspiring stories I ve had the chance to tell,educational,,Leukemia,positive,0.660101,1313986574,VanDrilSports,671,261,0,2.570881226,3166,0,"""Sportswriter for Chicago Tribune Media's Pioneer Press papers and 22nd Century Media.""",public
Thankfully the with Circuit is majority Democrat,educational,,Abortion,positive,0.553009,47526275,JHWeissmann,11075,2084,4502,5.314,24165,1,"""'Squealing propagandist' | 'soulless corporate shill & slave' | Writing about the economy for Slate. Hit me up at: jordan . weissmann @ slate . com.""",public
Having diabetes shouldn t stop you from enjoying family celebrations Plan ahead amp make healthy selections,personal,,Diabetes,positive,0.808699,1599741265,SMCHD_gov,440,307,302,1.433224756,4011,0,"""St. Mary's County Health Department is a place for residents to find health services, resources, information, and more. http://t.co/eIJB2N714A""",official agencies
RT of Counting of legal problems over high prices HIV and Rep C medicines a review of fights to come over cancer,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Hepatitis,negative,-0.810281,133487623,sunflower1790,3587,5007,39908,0.72,68673,0,"""Stand up for America before it's too late!""",public
1 His illustration is hilarious and maybe not the right ill for the piece 2 Scientists call oral sex of Ex,personal,,STDs,positive,0.344651,17974586,willystaley,4136,767,9426,5.39243807,25065,0,"""Story Editor, NYT Magazine. I edit Letter of Recommendation; it's not Jazmine.""",public
TMLT currently the only published issue is Abortion see Tomorrow Education and the Second Amendment,personal,,Abortion,neutral,0,272709071,nviveiros1,630,658,8527,0.96,11667,0,"""suffolk '20.""",public
this sweet gave my eyes ebook s j hhhhhhhhh,unrelated,Neglected tropical diseases and malaria,ebola,positive,0.650412,4129463733,yaalbibvb,1416,465,1928,3.05,25202,0,"""Sunni Muslimah, I Love Allah \u2665| i \u2665 Palestine|Foreveralone|half pakistani/half Emirati|\r\n|perhaps when i die you'll start caring enough for me.""",public
Someone with glomerulonephritis at risk for kidneycancer or are they 2 separate diseases Or Madman,educational,,Kidney cancer,negative,-0.888058,136322338,talkabouthealth,24431,25482,3270,0.96,25147,0,"""TAH is a patient education platform that collects and organizes the knowledge and expertise of the world's leading medical experts.""",businesses
RT of with century prophetic noses for those afflicted with late stage syphilis,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Syphilis,negative,-0.732476,3045707720,TakaraVintage,191,293,1109,0.65,1031,0,"""takara is Japanese for 'treasure' find taxidermy curios & treasure at our online shop""",public
Girl bye you was of last night It sounded like a bear having a asthma attack,personal,,Asthma,negative,-0.636089,258829666,SneakerManSwaff,870,809,714,1.08,70351,0,"""Take it one day at a time. If you're should follow our sneaker store on instagram: FlyingcloudSupplyCo""",public
18 and 5 on the of Result a power play goal Does of have fucking Alzheimer s,unrelated,,Alzheimer,negative,-0.829932,254826660,KyleHuckins213,231,312,5252,0.74,26414,0,"""Tampering in God's Domain since 1975.""",public
One in four of deer is infected with malaria notjustlyme lime via,educational,Neglected tropical diseases and malaria,Malaria,negative,-0.580435,47791514,Lymenews,7165,315,2839,22.746,11004,0,"""The #Lyme disease community's leading source for news, insight and advocacy. Publisher of The Lyme Times.""",media
Is well as pregnancy and PCOS diabetes can have an astounding effect on mentalhealth particularly depression WorldHealthDay,educational,,Diabetes,neutral,0,588342950,pcwhf,506,801,915,0.631710362,339,0,"""The #PrimaryCare Women's Health Forum is a #meded charity focused on providing for Healthcare Professionals interested in #womenshealth Chaired by Dr Connolly""",interest groups
Queensland scientists hopeful tongue program could halt spread of Like virus via,unrelated,Neglected tropical diseases and malaria,dengue,positive,0.29671,288540422,healthy_climate,2492,1276,1906,1.95,13924,0,"""The Climate and Health Alliance is a coalition of health care stakeholders who work together for climate action to protect people's health from climate change.""",interest groups
Today is World Tuberculosis May Visit to learn about Cleaner,educational,,Tuberculosis,neutral,0,2651707688,DeclareHR,92,229,613,0.401746725,503,0,"""The Eleanor Roosevelt Val-Kill Partnership is a 501c3 nonprofit, supporting preservation & interpretation at Val-Kill dedicated to ER's ideals in our time.""",interest groups
Drop in new diabetes cases doesn t tell the whole story,educational,,Diabetes,negative,-0.81553,33992250,LourdesHealth,2161,411,1174,5.258,2354,0,"""The Lourdes Health System is one of southern New Jersey's leading health care providers, with hospitals located in Camden and Willingboro.""",businesses
Sonya Russia children continue to suffer after malaria injection gone awry,educational,,Malaria,negative,-0.497317,2976553887,kenyanews4u,1300,975,0,1.333333333,93238,0,"""the number one news site for kenya's breaking news""",media
Retweeted Leader s Digest Now your feet can alert you to diabetes heart disease or thyreoid,educational,,Diabetes,negative,-0.455376,104650442,NMS_1993,247,95,6,2.6,17760,0,"""The official Twitter account has inspired by The Walt Disney Company, The Reader's Digest Association, Inc. and Pinoy Television Network Memories.""",interest groups
FINAL Baseball falls in game two 2 0 to Concordia Saints back in action tomorrow at Soon SaintsAlive,unrelated,,Falls,negative,-0.482228,69343144,SMUSaints,1539,270,12,5.7,8588,0,"""The official Twitter page of Saint Martin's Athletics""",interest groups
New study demonstrates link between low vitamin and ProstateCancer MensHealth Cancer,educational,,Prostate cancer,negative,-0.771793,122652185,Designs4Health,4283,2168,181,1.98,5113,0,"""The professional's choice for research-driven synergistic nutritional formulations and comprehensive practice support.  Family owned and operated!""",businesses
Meningitis can be dangerous but it can also be prevented learn about the vaccine,educational,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Meningitis,negative,-0.724686,243224758,UChicagoMed,14799,314,572,47.13,10056,1,"""The University of Chicago Medicine and Comer Children's Hospital. Follow @ScienceLife for more updates from our Biological Sciences Division.""",businesses
Coach Everett amp I spoke 2 great group of coaches today Began Clinic Walls Church of Great event amp nice 2 give back 2 the game,unrelated,,Falls,positive,0.661039,106748890,BH2OFootball,1578,120,2150,13.15,4693,0,"""There's a whole world of football out there that is not on ESPN...GO EAGLES! #BCFB #HailEagles""",public
I hate that video but I laugh every time she falls Vol,unrelated,,Falls,negative,-0.744462,40796078,PeriEmelia,1100,551,3073,1.996,54300,0,"""there's nothing you can teach me that i can't learn from Mr.Hathaway""",public
RT of In falls wine just in time for Valentine s May competition,unrelated,Unintentional injuries other than transport injuries,Falls,negative,-0.575154,38699808,cosmicorderwin,652,3105,2772,0.21,9273,0,"""There's opportunities for everyone out there...u just need the motivation to find them...life is full of surprises..my best surprise was my little man \u2661\u2665\u2661""",public
RT of Oh That Frog Fig man like you tetanus kill you Even tete children can beat tetanus Maggot,unrelated,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Tetanus,negative,-0.760839,277433701,Onflood_,3670,944,1043,3.89,177949,0,"""They said my kind couldn't fit in, So I forced it""",public
Because apparently showing self harm and rape doesn t need a warning CallOutTheCW Our Right Is Not Over,personal,,Self-harm,negative,-0.942931,4808465652,lexasgauntlet,25,103,286,0.242718447,208,0,"""'they tried to bury us. they didn't know we were seeds.'""",public
Now an individual can encourage someone to go for test for Diabetes AskAboutDiabetes,educational,,Diabetes,neutral,0,57638541,adult_kid,3824,1562,3187,2.448,64851,0,"""Thinks Good about himself, QA Engineer , Fortune hunter, Ultra-emotional, Political, Don't follow anyone who doesn't follow me, #BFC #MUFC #RCBForLife""",public
or the anti abortion stick while the driver is smoking with kiss in the car,personal,,Abortion,negative,-0.263124,112302925,RDHMelissa,720,743,921,0.97,46193,0,"""This account is fictional. Except for the stuff that's true. You're basically keeping me sane Twitter.""",public
I don t trust myself I m wrapped drowning in despair I m poisonous,unrelated,,Drowning,negative,-0.754396,244052470,Alesana_lyrics,6958,7658,5,0.91,35340,0,"""This is a bot that posts Alesana's lyrics. The lyrics are property and copyright of their owners. I will follow back and it is not official.""",public
HEPAR Health Education Prevention and Raising Nutrition Now The Symptoms Prevent Typhoid Raise Nutrition,educational,,typhoid,neutral,0,271002803,amsaUMI,426,121,1,3.52,1480,0,"""This is an official Twitter Account of Asian Medical Students' Association of Universitas Muslim Indonesia.""",public
i m footing for can newton first and the heat death of the universe second,educational,Unintentional injuries other than transport injuries,heat death,neutral,0,52306888,joeserrato,571,446,62294,1.28,66777,0,"""this is the sheep that ain't like what it heard""",public
I love you procrastinator where is aaron fuck is homestuck falls down stairs true fax sleeps really the,unrelated,,Falls,negative,-0.826216,249990992,Miss_ebooks,466,549,0,0.85,60405,0,"""this isnt a game you shouldn't be here || is managed by @UnimportantMiss  @MissxStocking || #Bot #Me #InANutshell go away""",public
With my whole fear about getting diabetes you d think I d try and eat better and exercise but here we are,personal,,Diabetes,negative,-0.269655,163302086,alliealliepenta,154,133,807,1.16,6983,0,"""Tina Fey and Idina Menzel's biggest fan\r\n QU '15 MAT '16""",public
Newsroom Heaviest snow from Monday s storm falls in northwestern NewBrunswick,unrelated,,Falls,negative,-0.822666,46127984,K935,770,82,45,9.39,16850,1,"""Today's BEST Music.""",businesses
